word	hint	Scrambelled
innocence	young  	cincnoene
presented	given	eseetdprn
remembers	recall knowledge	reremebms
household	a social unit living together	hoelhsdou
possessed	have as an attribute	psseseods
curiosity	want to learn more 	csiioytru
materials	the tangible substance	lriaesmat
standards	a basis for comparison	adsasnrtd
offensive	not nice	fofivesne
qualified	prove capable 	ilefidqau
fireworks	New Year's eve	fkerosirw
correctly	Accurate	toclreyrc
collapsed	break down	ocdesalpl
eliminate	end	eaiienlmt
cancelled	annul	nleclcdae
graduated	complete studies	daeduargt
hospitals	Doctors, nurses	tsloipsha
marijuana	sometimes called grass	jamnraiua
strongest	power greater than average	ntsersotg
evolution	Charles Darwin	litouenov
bartender	Sam in Cheers	ebeadrrnt
inaudible	impossible to hear	ueailnbdi
perimeter	the boundary line	reteermpi
increased	become bigger	dasncerie
scoundrel	a wicked or evil person; someone who does evil deliberately	sneuodrcl
conscious	intentionally conceived	sisonucco
landscape	an expanse of scenery	apldsncae
invention	creation	innivtnoe
integrity	good quality	iriynetgt
objective	the goal intended 	obctjveei
briefcase	carrying papers	ceabfseri
embarrass	feel self-conscious	mrsbrsaae
encourage	contribute to the progress	rcgnaueeo
heartbeat	in your chest	teehrabta
identical	exactly alike	aentciidl
classical	traditional genre	cassilcla
neighbour	next door	rhiubnoeg
vengeance	revenge	enegvacne
substance	the real physical matter	untsacbes
alcoholic	addicted	cahiocllo
automatic	type of gearbox	uaatictmo
salvation	saving from evil	aotalnivs
slightest	small in quantity	sstiegtlh
explosive	dangerous  	oxliepsve
forensics	scientific tests	eoscfrisn
ambitious	desire for success	ambitsiuo
orchestra	a musical organisation	srcohrtea
succeeded	attain success or reach a desired goal	ecsdeudce
Jerusalem	city in Israel 	jsmrleeua
frequency	the number of occurrences	nryquceef
architect	Dermot Bannon	atetchicr
instantly	without delay	tlinsanyt
orphanage	institute with kids	aepgnaorh
autograph	signature	ragptaouh
obsession	an irrational motive	sobosisen
lifestyle	a manner of living 	tleieflys
dimension	length, width, height	insmidoen
bodyguard	Kevin Costner played one	rbdygaudo
courtroom	Judges rule here	urorocomt
pointless	TV gameshow	psslontie
demanding	request urgently and forcefully	edmndigna
efficient	wasting little  time or effort	eitfencfi
slaughter	the killing of animals 	rhaetlsgu
marijuana	illegal plant	auiarmjan
legendary	famous	elgdyraen
detention	a state of being confined 	dnentioet
breakdown	falling down	rodnwebka
moonlight	visible on some clear nights	nihlmotog
scattered	go in different directions	rtetdasce
crackling	nice on ham or pork	caglcinkr
entertain	provide entertainment for	trntieena
particles	 a tiny piece of anything	asrpctlei
violation	a crime	ioovlitna
universal	a major studio from USA	vsuilrane
shattered	break into many pieces	hsetrdtea
departure	leave  	rpteeadru
spaghetti	type of pasta	aigetthps
contained	included	incdenato
sustained	kept going	sstdeunia
generator	produces electricity	gnrateero
continent	land mass	inentncto
godfather	Marlon Brando played one	tegodahfr
probation	a trial period	tiobparno
hurricane	cyclone	aienucrrh
flattered	praise somewhat dishonestly	arlteetfd
collector	a person who gathers things	ololecrct
physician	Doctor   	pniaichsy
submarine	JP Holland invented this	asimubren
astronaut	spaceman	nrastatuo
classroom	a room in a school	rcoasomls
condemned	express strong disapproval of	dmenecond
muttering	a low continuous sound	muirgttne
selection	the act of choosing	cesntolei
squeaking	high-pitched noise	iusnaeqkg
alongside	side by side	nsaliodge
translate	one language into another language	slatrenat
policemen	a member of a police force	neilecpom
primitive	stone age people	mpvriieit
defensive	an attitude	efdesneiv
sensation	awareness of stimulation	nastsneoi
strangled	kill by squeezing the throat	nsgrlated
clearance	the space between them	crleenaca
realistic	awareness of things as they really are	taiiclesr
engineers	required for building	eniseegrn
inherited	obtain from someone after their death	tnirhiede
arguments	verbal fighting	nsumrtgea
musicians	artists	ssuiicmna
insulting	treat, mention, or speak to rudely	lnuisngit
sincerely	without pretence	elyeinscr
spaceship	a spacecraft 	hscaipsep
injection	via a needle	cijnietno
virtually	in essence	vltuiayrl
formation	4-4-2 is one	rnaimtfoo
murdering	kill intentionally	undgeirrm
repeating	the act of performing again	trangiepe
vegetable	carrots, pea etc.	teaveegbl
languages	Irish, English, Spanish etc.	gsngaluea
pronounce	speak in a certain way	nnoerupoc
elections	a vote to select the winner	elsneicto
narrating	provide commentary	antnarrig
imagining	form a mental image	iniaingmg
fulfilled	put in effect	dfelluilf
dinosaurs	large and extinct	osnsudrai
rebellion	there was one in 1798 in Ireland	rliobneel
preferred	like better	frrepdere
battalion	an army unit 	inatoatlb
moustache	hair on the upper lip	tceoumsah
assaulted	attack someone 	laadstesu
surviving	continue to live 	isivngvru
container	on ships, trucks etc	eaortnnic
indicates	be a signal for	esdcaitni
sanctuary	a consecrated place	casnraytu
producers	someone who manufactures something	sceroprdu
righteous	accepted standards of morality or justice	otshiegru
specialty	a talent or like	ctsaplyie
regularly	often	rlgruleay
gradually	slow and sure	rayagldul
injustice	not fair	ucstienij
graveyard	land used for burials	arrvydgea
strangely	in a strange manner	egnaltsry
activated	put in motion or move to act	aveitatdc
installed	set up for use	sdnleitla
discharge	sudden giving off of energy	ehgsdarci
authentic	original	citeuahtn
addiction	dependent on something	ddonactii
involving	connect closely 	ivnlonvig
poisonous	dangerous to eat	nosspoiuo
diagnosis	identifying the cause	aoidssign
locations	places	oinltcsao
extension	addition to a house	eonensixt
transform	change	rmsornfta
providing	give something useful	iiordgpnv
overboard	to extremes	orodvbaer
elaborate	add details	atblreaoe
mysteries	something that baffles	seyrmstei
mechanism	system of parts	anmemcshi
smuggling	secretly importing 	sggnlmigu
countless	lots and lots	lusctenos
distorted	out of shape	tdrseoidt
superhero	superman, spiderman	rsepeoruh
terrorism	unlawful violence	rsietmror
decorated	made more attractive	doacdtree
specially	in a special manner	lisypaelc
producing	bring forth or yield	dnrgcupoi
occasions	special times	coascosin
inventory	a detailed list of stock	onvirntey
imaginary	fake	magarniiy
artillery	large but transportable armament	ltrlaryie
telescope	a magnifier of images of distant objects	elpeotcse
shameless	feeling no shame	ahmlsesse
worldwide	throughout the entire world	dlrwewoid
treasures	a wealth in the form of money or jewels	sseaerrtu
cafeteria	a restaurant	eaceitarf
monastery	the residence of a religious community	omntaesyr
impatient	restless 	imnaetipt
predicted	tell in advance	dcdpteire
ignorance	the lack of knowledge 	niagencro
civilised	stage of cultural development	veiisidlc
competing	engage in a contest	pnoecimtg
carpenter	a woodworker 	pratrneec
upsetting	disturb the stability of	ugepttnsi
narcotics	drugs	ctisacron
foreigner	from a different land	erigfoner
microwave	small cooking unit	ceawovmri
travelled	Somebody who moves a lot, is well…	tdaleerlv
groceries	Tesco & Dunnes supply these	ecgsroeir
imitating	copying	ttmginiia
informant	a person who supplies information	fniontmar
fantasies	imagination unrestricted by reality	senasaift
fisherman	works on the sea	sfiheranm
nightclub	late night disco	nubligcth
overheard	heard	drveehrao
machinery	tractors, diggers etc.	riycmhnae
predators	Lions, sharks etc.	prsadtreo
expertise	skilled	sexirepet
